,Data,PREC,RAD,TMAX,TMIN,URMAX,URMIN,U
4192,2019-06-24,0.0,768.7382266666666,19.95,18.629166666666666,62.541666666666664,57.333333333333336,1.2916666666666667
4193,2019-06-25,0.0,777.4338391666668,21.087500000000002,19.90833333333333,60.5,55.5,1.2541666666666667
4194,2019-06-26,0.0,876.7339166666666,23.683333333333334,22.46666666666667,53.791666666666664,48.916666666666664,1.7833333333333332
4195,2019-06-27,0.0,688.2462036363636,22.77916666666667,21.375,55.958333333333336,50.125,0.9916666666666666
4196,2019-06-28,0.0,862.7804100000001,22.454166666666666,21.145833333333332,58.291666666666664,53.333333333333336,1.741666666666667
4197,2019-06-29,0.0,938.5264009090909,21.891666666666666,20.629166666666666,59.208333333333336,54.458333333333336,2.154166666666667
4198,2019-06-30,0.0,1007.0331818181818,22.291666666666668,21.075,59.791666666666664,55.166666666666664,1.9208333333333332
4199,2019-07-01,0.0,781.3231125,21.7625,20.416666666666668,60.041666666666664,54.791666666666664,1.2166666666666666
4200,2019-07-02,0.0,704.3291233333334,21.133333333333333,19.787499999999998,59.666666666666664,54.125,1.3416666666666668
4201,2019-07-03,0.0,740.9816254545455,22.037499999999998,20.787499999999998,53.5,48.791666666666664,1.5625
4202,2019-07-04,0.4,563.9131009090909,21.995833333333334,20.608333333333334,55.458333333333336,49.375,2.479166666666667
4203,2019-07-05,30.4,170.27714083333333,17.604166666666668,16.983333333333334,91.70833333333333,89.625,2.0708333333333333
4204,2019-07-06,0.2,793.5519266666668,11.991666666666667,10.933333333333332,82.33333333333333,77.625,0.9291666666666667
4205,2019-07-07,0.0,856.92911,10.774999999999999,9.450000000000001,70.16666666666667,63.875,1.0541666666666667
4206,2019-07-08,0.0,995.4254166666666,13.820833333333333,12.3125,66.29166666666667,60.166666666666664,1.4416666666666667
4207,2019-07-09,0.0,977.1427354545455,16.754166666666666,15.2875,58.75,52.833333333333336,1.45
4208,2019-07-10,0.0,837.1591216666667,17.620833333333334,16.025000000000002,58.791666666666664,52.125,1.1291666666666667
4209,2019-07-11,0.0,1043.767,17.983333333333334,16.429166666666667,55.666666666666664,49.25,0.8583333333333334
4210,2019-07-12,0.0,954.5185833333334,18.825,17.2125,55.791666666666664,49.291666666666664,1.0999999999999999
4211,2019-07-13,0.0,790.8345075,20.854166666666668,19.258333333333333,52.583333333333336,46.458333333333336,0.6499999999999999
4212,2019-07-14,0.0,930.9646666666666,22.229166666666668,20.5,51.5,44.125,1.0374999999999999
4213,2019-07-15,0.0,829.3610524999999,22.116666666666664,20.275000000000002,47.125,39.375,1.1041666666666667
4214,2019-07-16,0.4,679.0836581818182,19.083333333333332,17.758333333333336,73.33333333333333,66.66666666666667,1.6083333333333334
4215,2019-07-17,0.0,915.3369781818182,13.629166666666668,12.112499999999999,70.58333333333333,65.5,1.1708333333333334
4216,2019-07-18,0.0,739.289505,16.125,14.683333333333332,62.208333333333336,56.583333333333336,1.3583333333333334
4217,2019-07-19,0.0,876.6731991666667,17.6375,16.379166666666666,56.208333333333336,51.5,2.9
4218,2019-07-20,0.0,943.8504066666666,18.599999999999998,17.462500000000002,54.291666666666664,50.041666666666664,2.9499999999999997
4219,2019-07-21,0.0,813.2862541666668,18.570833333333336,17.279166666666665,58.083333333333336,53.5,3.1041666666666665
4220,2019-07-22,0.0,625.3479625,19.641666666666666,18.608333333333334,59.0,55.291666666666664,3.0375
4221,2019-07-23,0.0,841.5987583333333,20.25,18.9,60.208333333333336,55.375,1.9875
4222,2019-07-24,0.0,1005.9555975000001,21.59583333333333,20.1125,56.625,51.125,1.6500000000000001
4223,2019-07-25,0.0,659.8534774999999,21.866666666666664,20.275,53.708333333333336,48.041666666666664,1.633333333333333
4224,2019-07-26,0.0,957.20775,21.650000000000002,20.05,51.333333333333336,45.75,2.1
4225,2019-07-27,0.0,858.9422041666666,21.662499999999998,20.291666666666668,47.708333333333336,43.0,1.675
4226,2019-07-28,0.0,872.1161074999999,20.783333333333335,18.979166666666668,49.5,42.958333333333336,0.8958333333333334
4227,2019-07-29,0.0,899.5005833333333,20.116666666666664,18.650000000000002,59.166666666666664,52.5,1.4083333333333332
4228,2019-07-30,0.0,788.3024166666667,21.025,19.516666666666666,54.5,48.5,1.1624999999999999
4229,2019-07-31,0.0,1020.8526666666667,20.379166666666666,18.808333333333334,60.083333333333336,53.916666666666664,1.2583333333333333
4230,2019-08-01,0.0,1020.4723333333334,21.620833333333337,20.054166666666664,46.708333333333336,41.708333333333336,1.5125
4231,2019-08-02,0.0,785.722985,24.4375,22.7375,43.5,37.791666666666664,2.1333333333333333
4232,2019-08-03,2.4,182.5982383333333,16.295833333333334,15.470833333333333,82.45833333333333,78.41666666666667,1.7208333333333332
4233,2019-08-04,5.800000000000001,98.52309090909091,12.508333333333333,12.179166666666667,90.70833333333333,89.83333333333333,1.4833333333333332
4234,2019-08-05,9.0,271.5855833333333,13.545833333333333,12.858333333333334,88.33333333333333,85.125,2.529166666666667
4235,2019-08-06,0.0,911.8428333333334,18.354166666666668,17.11666666666667,72.20833333333333,67.66666666666667,2.2958333333333334
4236,2019-08-07,0.0,1066.2548333333332,20.52916666666667,19.258333333333333,67.33333333333333,62.583333333333336,2.670833333333333
4237,2019-08-08,0.0,905.2972375000002,21.57916666666667,20.204166666666666,62.291666666666664,56.833333333333336,1.179166666666667
4238,2019-08-09,0.0,933.6641808333333,23.212500000000002,21.583333333333332,54.625,48.25,1.3583333333333332
4239,2019-08-10,0.0,953.9124141666666,24.570833333333336,23.025000000000002,45.291666666666664,40.291666666666664,1.6083333333333332
4240,2019-08-11,0.0,1073.1809166666667,24.175,22.554166666666664,42.125,36.208333333333336,0.9541666666666666
4241,2019-08-12,0.0,1096.8855833333332,25.15833333333333,23.683333333333334,42.166666666666664,37.375,2.1958333333333333
4242,2019-08-13,0.0,688.62494,24.770833333333332,23.024999999999995,50.375,43.458333333333336,1.3791666666666667
4243,2019-08-14,0.0,789.4434974999999,18.183333333333334,16.7625,73.66666666666667,69.0,1.8875
4244,2019-08-15,0.0,1109.9982466666668,16.8625,15.566666666666668,66.125,61.958333333333336,1.7166666666666668
4245,2019-08-16,0.0,876.496735,19.866666666666667,18.395833333333332,51.0,45.958333333333336,2.3208333333333333
4246,2019-08-17,0.0,819.8124108333333,20.9375,19.604166666666668,48.875,44.75,2.5541666666666667
4247,2019-08-18,0.0,789.9045991666667,23.216666666666665,21.791666666666668,43.208333333333336,38.958333333333336,1.9291666666666665
4248,2019-08-19,0.4,619.5497425000001,21.416666666666668,20.054166666666664,56.708333333333336,50.708333333333336,1.0583333333333333
4249,2019-08-20,4.2,489.533575,17.9,17.058333333333334,84.29166666666667,80.79166666666667,1.6291666666666667
4250,2019-08-21,0.0,850.0487575,19.162499999999998,17.837500000000002,77.0,72.04166666666667,1.3083333333333333
4251,2019-08-22,0.0,930.7133825,18.491666666666667,17.004166666666666,74.125,69.25,1.2208333333333334
4252,2019-08-23,0.2,643.1142633333333,16.870833333333334,15.566666666666668,74.33333333333333,68.5,1.675
4253,2019-08-24,0.0,1045.160365,18.045833333333334,16.479166666666668,62.541666666666664,56.333333333333336,1.4208333333333334
4254,2019-08-25,0.0,1035.1499716666667,19.004166666666666,17.366666666666667,62.833333333333336,56.375,1.3416666666666668
4255,2019-08-26,0.0,1216.1368275,20.6125,19.21666666666667,57.75,52.125,2.4166666666666665
