,Data,PREC,RAD,TMAX,TMIN,URMED,U
5091,2021-12-09,0.0,21787.72,20.927272727272726,19.5,63.72727272727273,0.9772727272727273
5092,2021-12-10,0.0,17616.14152,22.686363636363634,21.072727272727274,57.04545454545455,1.0772727272727274
5093,2021-12-11,0.0,17629.334219999997,24.94545454545454,23.295454545454547,48.68181818181818,1.0
5094,2021-12-12,2.2,14794.335,26.94090909090909,25.5,60.52272727272727,1.6318181818181818
5095,2021-12-13,0.2,10195.77976,25.422727272727272,24.54090909090909,67.5909090909091,2.1818181818181817
5096,2021-12-14,1.8,7057.15234,24.690909090909088,23.654545454545453,73.68181818181819,1.9272727272727272
5097,2021-12-15,13.399999999999999,7789.117,22.809090909090912,21.88181818181818,85.31818181818181,2.109090909090909
5098,2021-12-16,5.8,12092.70647,24.41363636363636,23.368181818181814,78.56818181818181,1.3772727272727272
5099,2021-12-17,19.6,7878.2476,23.69545454545454,22.86818181818182,81.88636363636364,1.209090909090909
5100,2021-12-18,25.800000000000004,13133.30643,24.145454545454548,23.09090909090909,80.5909090909091,0.7863636363636363
5101,2021-12-19,0.0,16175.50807,23.50454545454545,22.10909090909091,68.81818181818181,1.2454545454545454
5102,2021-12-20,0.0,16682.68864,23.663636363636364,22.286363636363635,63.52272727272727,0.9727272727272727
5103,2021-12-21,0.0,20467.71656,26.331818181818186,24.922727272727272,55.47727272727273,1.3
5104,2021-12-22,0.0,14310.36546,26.545454545454547,24.881818181818186,56.56818181818182,1.7045454545454546
5105,2021-12-23,20.6,7742.58867,23.80454545454545,22.650000000000002,75.68181818181819,1.1181818181818182
5106,2021-12-24,0.0,14889.834100000002,21.563636363636363,20.104545454545452,60.54545454545455,1.55
5107,2021-12-25,0.0,19314.69262,22.73181818181818,21.19090909090909,61.54545454545455,1.3818181818181818
5108,2021-12-26,0.0,20746.56,25.372727272727275,23.65,53.56818181818182,1.4181818181818182
5109,2021-12-27,0.0,18805.653,26.181818181818183,24.781818181818178,55.36363636363637,1.8863636363636365
5110,2021-12-28,3.4000000000000004,9706.06257,23.18181818181818,21.700000000000003,69.72727272727273,2.1454545454545455
5111,2021-12-29,19.2,15976.59698,23.04090909090909,21.5,76.88636363636364,1.4863636363636366
